learning_instance_id,EmployeeID,participant_completed,learning_title,rating,length,provider,completion_date,instructor_name,instructor_from
xklxam,1318,False,Inventory Management Fundamentals,5,180,Learning Academy,,Prof. Emily Anderson,edX
yulhgb,1318,False,Leadership Essentials,2,150,Leadership Institute,,Dr. David Williams,Coursera
kufolz,1319,False,Leadership Essentials,5,150,Leadership Institute,,Dr. David Williams,Coursera
nwlpwa,1319,False,Strategic Problem-Solving Skills,5,300,Problem-Solving Academy,,Prof. Jennifer Davis,Codecademy
ravrmy,1319,True,Customer Service Excellence,3,120,Service Institute,09/07/2015,Dr. John Smith,Coursera
pwkufx,1320,True,Effective Workplace Communication,4,240,Communication Institute,11/19/2015,Dr. Michael Johnson,Udemy
lzioot,1320,False,Leadership Essentials,0,150,Leadership Institute,,Dr. David Williams,Coursera
xpxcjr,1320,False,Financial Literacy for Professionals,4,90,Finance Masters,,Prof. Samantha Roberts,LinkedIn Learning
rpamil,1321,False,Financial Literacy for Professionals,2,90,Finance Masters,,Prof. Samantha Roberts,LinkedIn Learning
fkddtr,1321,False,Inventory Management Fundamentals,1,180,Learning Academy,,Prof. Emily Anderson,edX
uholgb,1321,False,Customer Service Excellence,2,120,Service Institute,,Dr. John Smith,Coursera
ykfnia,1321,False,Leadership Essentials,3,150,Leadership Institute,,Dr. David Williams,Coursera
sxjjyp,1321,False,Strategic Problem-Solving Skills,2,300,Problem-Solving Academy,,Prof. Jennifer Davis,Codecademy
yzqvjt,1322,False,Effective Workplace Communication,3,240,Communication Institute,,Dr. Michael Johnson,Udemy
uruhas,1322,False,Leadership Essentials,2,150,Leadership Institute,,Dr. David Williams,Coursera
hexvxq,1323,True,Leadership Essentials,0,150,Leadership Institute,11/25/2015,Dr. David Williams,Coursera
mxmnat,1323,False,Effective Workplace Communication,0,240,Communication Institute,,Dr. Michael Johnson,Udemy
zhnnri,1323,True,Customer Service Excellence,5,120,Service Institute,01/13/2015,Dr. John Smith,Coursera
fhjfow,1323,False,Strategic Problem-Solving Skills,2,300,Problem-Solving Academy,,Prof. Jennifer Davis,Codecademy
tlqczz,1323,True,Financial Literacy for Professionals,3,90,Finance Masters,10/23/2015,Prof. Samantha Roberts,LinkedIn Learning
mhhdoe,1325,False,Customer Service Excellence,1,120,Service Institute,,Dr. John Smith,Coursera
nfqyqx,1325,True,Effective Workplace Communication,5,240,Communication Institute,12/31/2015,Dr. Michael Johnson,Udemy
ivklon,1328,True,Leadership Essentials,5,150,Leadership Institute,09/11/2015,Dr. David Williams,Coursera
qtmobh,1328,False,Inventory Management Fundamentals,2,180,Learning Academy,,Prof. Emily Anderson,edX
udyltx,1330,True,Inventory Management Fundamentals,2,180,Learning Academy,02/03/2015,Prof. Emily Anderson,edX
ifjqfi,1330,True,Financial Literacy for Professionals,2,90,Finance Masters,09/30/2015,Prof. Samantha Roberts,LinkedIn Learning
haefkt,1330,False,Customer Service Excellence,0,120,Service Institute,,Dr. John Smith,Coursera
ibxhpn,1330,False,Leadership Essentials,4,150,Leadership Institute,,Dr. David Williams,Coursera
eyqvjk,1332,False,Effective Workplace Communication,5,240,Communication Institute,,Dr. Michael Johnson,Udemy
rxsdff,1332,False,Inventory Management Fundamentals,4,180,Learning Academy,,Prof. Emily Anderson,edX
jwpnge,1332,False,Financial Literacy for Professionals,1,90,Finance Masters,,Prof. Samantha Roberts,LinkedIn Learning
bbzljj,1332,True,Leadership Essentials,1,150,Leadership Institute,09/01/2015,Dr. David Williams,Coursera
gsfxdi,1334,True,Customer Service Excellence,2,120,Service Institute,06/06/2015,Dr. John Smith,Coursera
grvlbr,1703,False,Strategic Problem-Solving Skills,4,300,Problem-Solving Academy,,Prof. Jennifer Davis,Codecademy
mxcwsu,1703,True,Financial Literacy for Professionals,3,90,Finance Masters,01/13/2015,Prof. Samantha Roberts,LinkedIn Learning
dxunzk,1703,False,Customer Service Excellence,0,120,Service Institute,,Dr. John Smith,Coursera
udkkjf,1705,False,Leadership Essentials,1,150,Leadership Institute,,Dr. David Williams,Coursera
thvygj,1705,False,Effective Workplace Communication,2,240,Communication Institute,,Dr. Michael Johnson,Udemy
dzuvcv,1705,False,Financial Literacy for Professionals,2,90,Finance Masters,,Prof. Samantha Roberts,LinkedIn Learning
hdnpzi,1705,True,Customer Service Excellence,4,120,Service Institute,03/23/2015,Dr. John Smith,Coursera
ljuhdp,1705,True,Strategic Problem-Solving Skills,0,300,Problem-Solving Academy,02/16/2015,Prof. Jennifer Davis,Codecademy
fkccea,1706,True,Effective Workplace Communication,0,240,Communication Institute,10/17/2015,Dr. Michael Johnson,Udemy
bcgbrw,1710,False,Financial Literacy for Professionals,4,90,Finance Masters,,Prof. Samantha Roberts,LinkedIn Learning
ksxdhc,1710,False,Customer Service Excellence,1,120,Service Institute,,Dr. John Smith,Coursera
ouobfs,1710,False,Strategic Problem-Solving Skills,2,300,Problem-Solving Academy,,Prof. Jennifer Davis,Codecademy
nkkqit,1713,False,Inventory Management Fundamentals,1,180,Learning Academy,,Prof. Emily Anderson,edX
wlkaxk,1715,True,Effective Workplace Communication,4,240,Communication Institute,04/04/2015,Dr. Michael Johnson,Udemy
qjcswi,1715,False,Customer Service Excellence,0,120,Service Institute,,Dr. John Smith,Coursera
hljtbp,1717,False,Leadership Essentials,3,150,Leadership Institute,,Dr. David Williams,Coursera
dplafj,1717,False,Customer Service Excellence,1,120,Service Institute,,Dr. John Smith,Coursera
kolzif,1717,True,Financial Literacy for Professionals,4,90,Finance Masters,09/14/2015,Prof. Samantha Roberts,LinkedIn Learning
bstfwj,1717,False,Effective Workplace Communication,4,240,Communication Institute,,Dr. Michael Johnson,Udemy
vhfify,1718,False,Inventory Management Fundamentals,3,180,Learning Academy,,Prof. Emily Anderson,edX
nwkosa,1719,False,Effective Workplace Communication,1,240,Communication Institute,,Dr. Michael Johnson,Udemy
hmqwff,1719,True,Customer Service Excellence,4,120,Service Institute,02/15/2015,Dr. John Smith,Coursera
wegsji,1720,True,Effective Workplace Communication,3,240,Communication Institute,07/18/2015,Dr. Michael Johnson,Udemy
dgyyey,1720,True,Leadership Essentials,3,150,Leadership Institute,10/05/2015,Dr. David Williams,Coursera
hoylwk,1720,True,Inventory Management Fundamentals,0,180,Learning Academy,09/13/2015,Prof. Emily Anderson,edX
resxeu,1720,True,Strategic Problem-Solving Skills,3,300,Problem-Solving Academy,06/28/2015,Prof. Jennifer Davis,Codecademy
vdlqqa,1720,True,Financial Literacy for Professionals,4,90,Finance Masters,02/15/2015,Prof. Samantha Roberts,LinkedIn Learning
bzryhr,1721,False,Inventory Management Fundamentals,3,180,Learning Academy,,Prof. Emily Anderson,edX
peiioe,1721,True,Financial Literacy for Professionals,2,90,Finance Masters,06/18/2015,Prof. Samantha Roberts,LinkedIn Learning
olsjxu,1721,False,Leadership Essentials,5,150,Leadership Institute,,Dr. David Williams,Coursera
igzmse,1721,False,Strategic Problem-Solving Skills,4,300,Problem-Solving Academy,,Prof. Jennifer Davis,Codecademy
mccnrj,1726,True,Strategic Problem-Solving Skills,5,300,Problem-Solving Academy,09/23/2015,Prof. Jennifer Davis,Codecademy
vtaioe,1728,False,Customer Service Excellence,0,120,Service Institute,,Dr. John Smith,Coursera
